id,text,incident_types,severity,type_labels,severity_label,lang
1,"Nag-report ng puno tumama sa bahay at overdose, buhay ang nakataya.","['Natural Disaster', 'Medical']",Red,"[4, 3]",2,fil
2,"Urgent - missing person, no signs of life! pls",['Other'],Black,[5],3,en
3,Grabe nakawan sa bahay. deceased. Bilisan.,['Crime'],Black,[1],3,fil
4,"duguan at tumubalik na kuryente nangyari, posibleng bali. Padala agad.","['Medical', 'Other']",Yellow,"[3, 5]",1,fil
5,"Emergency! lupa gumuho at naaksidente sa construction, konting galos lang.","['Natural Disaster', 'Accident']",Green,"[4, 2]",0,fil
6,"emergency! diabetic emergency at may kakaibang kadahilan, walang sugat.","['Medical', 'Other']",Green,"[3, 5]",0,fil
7,"Emergency: unusual noise, no injuries.",['Other'],Green,[5],0,en
8,"Tulong! may nag-aapoy na kotse, walang sugat.",['Fire'],Green,[0],0,fil
9,"Biglaang nahimatay, ok lang!",['Medical'],Green,[3],0,fil
10,"Nag-report ng storm surge at jeep tumama sa poste, hindi makahinga. po","['Natural Disaster', 'Accident']",Red,"[4, 2]",2,fil
11,"loose animal, no injuries.",['Other'],Green,[5],0,en
12,Grabe tumubalik na kuryente at naaksidente sa construction! kaya pang maghintay. Bilisan!,"['Other', 'Accident']",Green,"[5, 2]",0,fil
13,may kutsilyo at ulan di tumitigil sa plaza. posibleng bali.,"['Crime', 'Natural Disaster']",Yellow,"[1, 4]",1,fil
14,"nag-aaway ng malakas at nahihirapang huminga nangyari, hindi makahinga. Padala agad.","['Crime', 'Medical']",Red,"[1, 3]",2,fil
15,nagkagulo ang mga tao sa palengke. walang sugat.,['Other'],Green,[5],0,fil
16,"boss may rollover, puwedeng delayed.",['Accident'],Yellow,[2],1,fil
17,"binaril ang tao nangyari, walang buhay. Padala agad.",['Crime'],Black,[1],3,fil
18,lindol sa kanto. patay na.,['Natural Disaster'],Black,[4],3,fil
19,"EMERGENCY: COLLAPSED PERSON, MINOR ONLY.",['Medical'],Green,[3],0,en
20,"Biglaang holdap sa tindahan, konting galos lang!",['Crime'],Green,[1],0,fil
21,"naaksidente sa construction dito sa elementary school, walang buhay! po",['Accident'],Black,[2],3,fil
22,"Tulong! hit and run, hindi na umaandar.",['Accident'],Black,[2],3,fil
23,"Biglaang may sekswal na guro, patay na!",['Other'],Black,[5],3,fil
24,"URGENT - BUILDING BURNING, NEEDS TREATMENT SOON!",['Fire'],Yellow,[0],1,en
25,"Boss may allergic reaction, medyo masakit.",['Medical'],Yellow,[3],1,fil
26,Grabe heart attack! walang sugat. Bilisan!,['Medical'],Green,[3],0,fil
27,"structure fire, needs treatment soon.",['Fire'],Yellow,[0],1,en
28,"Tulong! landslide sa bundok, walang buhay.",['Natural Disaster'],Black,[4],3,fil
29,"nahulog sa kanal at hostage situation nangyari, malakas na dugo. Padala agad.","['Accident', 'Crime']",Red,"[2, 1]",2,fil
30,"EMERGENCY! MAY KAKAIBANG KADAHILAN, HINDI MAKAHINGA.",['Other'],Red,[5],2,fil
31,nasusunog yung store at nahulog na phone sa kanto. deceased.,"['Fire', 'Other']",Black,"[0, 5]",3,fil
32,"building burning and flooding at San Jose, not breathing.","['Fire', 'Natural Disaster']",Red,"[0, 4]",2,en
33,"Nag-report ng overdose, kaya pang maghintay. pls",['Medical'],Green,[3],0,fil
34,storm surge at may nag-aapoy na kotse sa Barangay Centro. kaya pang maghintay.,"['Natural Disaster', 'Fire']",Green,"[4, 0]",0,fil
35,"Emergency! nadaganan ng gamit, wala nang pulso.",['Accident'],Black,[2],3,fil
36,"Emergency: loose animal and motorcycle collision, possible fracture.","['Other', 'Accident']",Yellow,"[5, 2]",1,en
37,"May suspek na pakete at duguan, ok lang.","['Other', 'Medical']",Green,"[5, 3]",0,fil
38,jeep tumama sa poste at sira ang tubig sa Poblacion. kailangan ng tulong pero stable.,"['Accident', 'Other']",Yellow,"[2, 5]",1,fil
39,heart attack sa elementary school. agarang emergency.,['Medical'],Red,[3],2,fil
40,"Boss may diabetic emergency, safe naman.",['Medical'],Green,[3],0,fil
41,"Nag-report ng suspek na pakete, safe naman. po",['Other'],Green,[5],0,fil
42,"power outage and house fire at Bagong Silang, no pulse.","['Other', 'Fire']",Black,"[5, 0]",3,en
43,"May malakas na ulan, critical na.",['Natural Disaster'],Red,[4],2,fil
44,"truck accident, no signs of life.",['Accident'],Black,[2],3,en
45,lindol at overdose sa palengke. critical na. po,"['Natural Disaster', 'Medical']",Red,"[4, 3]",2,fil
46,Grabe nahihirapang huminga at lindol! deceased. Bilisan!,"['Medical', 'Natural Disaster']",Black,"[3, 4]",3,fil
47,"truck nasagasaan ang tao nangyari, wala nang pulso. Padala agad.",['Accident'],Black,[2],3,fil
48,"BAHA SA KALSADA NANGYARI, POSIBLENG BALI. PADALA AGAD.",['Natural Disaster'],Yellow,[4],1,fil
49,"truck nasagasaan ang tao dito sa Poblacion, kailangan ng tulong pero stable! pls",['Accident'],Yellow,[2],1,fil
50,"Boss may lindol, malakas na dugo.",['Natural Disaster'],Red,[4],2,fil
51,"Biglaang puno tumama sa bahay, wala nang pulso!",['Natural Disaster'],Black,[4],3,fil
52,"Biglaang storm surge, malakas na dugo!",['Natural Disaster'],Red,[4],2,fil
53,"Nag-report ng malakas na ulan, critical na.",['Natural Disaster'],Red,[4],2,fil
54,"Emergency. may kutsilyo, walang sugat.",['Crime'],Green,[1],0,fil
55,"Urgent - collapsed person, no signs of life.",['Medical'],Black,[3],3,en
56,"Nag-report ng may kutsilyo at buntis manganak, patay na.","['Crime', 'Medical']",Black,"[1, 3]",3,fil
57,"strange object, deceased.",['Other'],Black,[5],3,en
58,"sunog sa factory dito sa plaza, buhay ang nakataya!",['Fire'],Red,[0],2,fil
59,Grabe duguan at kidnapping! posibleng bali. Bilisan!,"['Medical', 'Crime']",Yellow,"[3, 1]",1,fil
60,Grabe lindol! agarang emergency. Bilisan!,['Natural Disaster'],Red,[4],2,fil
61,"Nag-report ng nasusunog na building, kailangan ng tulong pero stable.",['Fire'],Yellow,[0],1,fil
62,"Urgent - kitchen smoke and not breathing, can wait!","['Fire', 'Medical']",Yellow,"[0, 3]",1,en
63,"Nag-report ng chemical fire, ok lang.",['Fire'],Green,[0],0,fil
64,"nawawalang alahas nangyari, puwedeng delayed. Padala agad.",['Other'],Yellow,[5],1,fil
65,"Tulong. bodega nasusunog, hindi makahinga.",['Fire'],Red,[0],2,fil
66,"sugatan at jeep tumama sa poste dito sa tabi ng simbahan, buhay ang nakataya!","['Medical', 'Accident']",Red,"[3, 2]",2,fil
67,suspek na pakete sa palengke. wala nang pulso.,['Other'],Black,[5],3,fil
68,"seizure and motorcycle collision, safe to wait.","['Medical', 'Accident']",Green,"[3, 2]",0,en
69,Grabe bata nawawala at lupa gumuho! hindi makahinga. Bilisan!,"['Other', 'Natural Disaster']",Red,"[5, 4]",2,fil
70,"rollover at overdose nangyari, malakas na dugo. Padala agad.","['Accident', 'Medical']",Red,"[2, 3]",2,fil
71,"May aso na-trap at bodega nasusunog, medyo masakit.","['Other', 'Fire']",Yellow,"[5, 0]",1,fil
72,"Urgent - heavy rain, not breathing!",['Natural Disaster'],Red,[4],2,en
73,"Tulong! motor crash, medyo masakit. pls",['Accident'],Yellow,[2],1,fil
74,"malakas na ulan dito sa tabi ng simbahan, hindi na umaandar! po",['Natural Disaster'],Black,[4],3,fil
75,"May storm surge, kailangan tignan.",['Natural Disaster'],Yellow,[4],1,fil
76,"vehicle accident and electrical fire, needs treatment soon.","['Accident', 'Fire']",Yellow,"[2, 0]",1,en
77,"hit and run, not breathing.",['Accident'],Red,[2],2,en
78,"May nahulog sa kanal, puwedeng delayed.",['Accident'],Yellow,[2],1,fil
79,"Boss may flash flood, agarang emergency. pls",['Natural Disaster'],Red,[4],2,fil
80,kidnapping sa highway. walang sugat.,['Crime'],Green,[1],0,fil
81,Grabe diabetic emergency at motor crash! minor lang. Bilisan!,"['Medical', 'Accident']",Green,"[3, 2]",0,fil
82,"found belongings, no injuries.",['Other'],Green,[5],0,en
83,"Boss may nasagasaan, konting galos lang.",['Accident'],Green,[2],0,fil
84,"Boss may baha sa kalsada at nadaganan ng gamit, hindi na umaandar.","['Natural Disaster', 'Accident']",Black,"[4, 2]",3,fil
85,"Biglaang hangin nilipat ang yero, kailangan tignan!",['Natural Disaster'],Yellow,[4],1,fil
86,"EMERGENCY! PANANAKIT SA KALSADA, WALA NANG PULSO.",['Crime'],Black,[1],3,fil
87,"Boss may sarado ang daan, malakas na dugo.",['Other'],Red,[5],2,fil
88,"tubig baha sa loob nangyari, minor lang. Padala agad.",['Natural Disaster'],Green,[4],0,fil
89,"May chemical fire, puwedeng delayed. po",['Fire'],Yellow,[0],1,fil
90,"Biglaang landslide sa bundok, kailangan agad!",['Natural Disaster'],Red,[4],2,fil
91,"NAKITA ANG BANGKAY DITO SA BAGONG SILANG, MINOR LANG!",['Other'],Green,[5],0,fil
92,"Tulong! sira ang tubig at malakas na ulan, critical na.","['Other', 'Natural Disaster']",Red,"[5, 4]",2,fil
93,"landslide sa bundok at buntis manganak nangyari, kailangan agad. Padala agad.","['Natural Disaster', 'Medical']",Red,"[4, 3]",2,fil
94,"Emergency! bangga ng kotse, wala nang pulso. pls",['Accident'],Black,[2],3,fil
95,"door forced open and heavy rain at sakayan, minor only.","['Other', 'Natural Disaster']",Green,"[5, 4]",0,en
96,"Emergency! tubig baha sa loob, ok lang.",['Natural Disaster'],Green,[4],0,fil
97,Grabe nasusunog yung store! agarang emergency. Bilisan!,['Fire'],Red,[0],2,fil
98,"May may nagnakaw, kailangan agad.",['Crime'],Red,[1],2,fil
99,"may buntis manganak at malakas na ulan, minor lang.","['Medical', 'Natural Disaster']",Green,"[3, 4]",0,fil
100,hit and run sa Bagong Silang. puwedeng delayed.,['Accident'],Yellow,[2],1,fil
101,"Tulong! nagliliyab na bahay at nahulog sa kanal, critical na.","['Fire', 'Accident']",Red,"[0, 2]",2,fil
102,bangga ng kotse sa market. buhay ang nakataya.,['Accident'],Red,[2],2,fil
103,"May may batang umiiyak, kailangan ng tulong pero stable.",['Other'],Yellow,[5],1,fil
104,"hindi humihinga dito sa Bagong Silang, patay na!",['Medical'],Black,[3],3,fil
105,"Urgent - storm, deceased!",['Natural Disaster'],Black,[4],3,en
106,"gas leak nangyari, posibleng bali. Padala agad.",['Other'],Yellow,[5],1,fil
107,Grabe baha sa kalsada at buntis manganak! posibleng bali. Bilisan!,"['Natural Disaster', 'Medical']",Yellow,"[4, 3]",1,fil
108,"Biglaang lindol, patay na!",['Natural Disaster'],Black,[4],3,fil
109,Grabe nagsumiklab ang gulo! konting galos lang. Bilisan!,['Other'],Green,[5],0,fil
110,Grabe may kutsilyo! patay na. Bilisan! pls,['Crime'],Black,[1],3,fil
111,"Emergency! bugbugan, kaya pang maghintay. pls",['Crime'],Green,[1],0,fil
