id,text,incident_types,type_labels,severity,severity_label
3950,according to the chinese authorities an explosion occurred on 13 november 2005 at a petrochemical plant of the jilin petrochemical corporation which is affiliated with the china national petroleum corporation,['emergency'],[9],Green,0
1272,official quake toll stands at 14 500,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
14384,thanks you sent me too much advice i need food now,"['emergency', 'request', 'aid_related', 'food', 'direct_report']","[9, 25, 1, 12, 6]",Yellow,1
18501,the eruption on april 18th blew volcanic rocks which broke solar panels on roofs and car windows in takaharu cho the matching grant was increased and fulfilled within weeks an anonymous donor added tens of thousands of dollars to the original matching grant figure and hundreds of additional generous contributors helped northwest medical teams reach its goal to match the grant figures,['emergency'],[9],Green,0
3165,please help me i need clothes or anything,"['emergency', 'request', 'aid_related', 'search_and_rescue', 'water', 'clothing', 'other_aid', 'infrastructure_related', 'hospitals', 'weather_related', 'cold', 'other_weather', 'direct_report']","[9, 25, 1, 26, 33, 3, 21, 14, 13, 34, 4, 23, 6]",Red,2
15793,adult clothing men and women s warm jackets children s clothing boys ages 7 5 4 and baby girls sheets blankets pillows toys canned goods,"['emergency', 'aid_related', 'clothing']","[9, 1, 3]",Yellow,1
9796,hegrungescene in my city santiago the capital are good but in other cities are going so bad,['emergency'],[9],Green,0
19588,tragic earthquake brings back memories of wonderful haitians i met and trained in 04 nation in need http bit ly 6h0ozu tcot,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
15952,temperatures in the region dropped below freezing overnight,['emergency'],[9],Green,0
14722,geneva nov 7 reuters the united nations and the global red cross red crescent said on monday urgent cash support from the outside world was vital to save thousands of lives as winter moves in on homeless survivors of the pakistan earthquake,"['emergency', 'aid_related', 'medical_products', 'military', 'shelter', 'electricity', 'weather_related', 'earthquake']","[9, 1, 16, 17, 28, 8, 34, 7]",Red,2
13164,i m a student that was part of the faculty in port au prince i have nothing how can you help me please,"['emergency', 'request', 'aid_related', 'other_aid', 'direct_report']","[9, 25, 1, 21, 6]",Yellow,1
19028,to alleviate hunger this year the government has relaxed import regulations to allow individuals and private companies to import grain to supplement local supplies,"['emergency', 'aid_related', 'food', 'direct_report']","[9, 1, 12, 6]",Yellow,1
2145,we are in the upper sections of fontamara we are victims like everyone else but no one has come by to help us and tell us what to do,"['emergency', 'request', 'aid_related', 'other_aid', 'direct_report']","[9, 25, 1, 21, 6]",Yellow,1
18815,yes i need help food water and shelter please help me,"['emergency', 'request', 'aid_related', 'water', 'food', 'shelter', 'direct_report']","[9, 25, 1, 33, 12, 28, 6]",Yellow,1
10383,will the earthquake happening this afternoon be strong they say that the satellites gave some insight please,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
4032,good morning could you please tell me where i can find a western union office that s open in the capital,['emergency'],[9],Green,0
15363,in village katchi pul dist qamber sdkt taluka qubo saeed men abdul haq we have lost everything in the flood govt of sindh didn t help us,['emergency'],[9],Green,0
11155,have conscience in food aids water and tent,"['emergency', 'request', 'aid_related', 'water', 'food', 'shelter']","[9, 25, 1, 33, 12, 28]",Yellow,1
19158,banda aceh sept 23 afp the red cross said friday it had begun importing thousands of family sized tents into tsunami hit aceh province ahead of the rainy season,"['emergency', 'aid_related', 'shelter', 'weather_related', 'floods', 'storm']","[9, 1, 28, 34, 11, 30]",Red,2
17399,in addition stagnant water due to flooding increases the risks of malaria and dengue haemorrhagic fever,"['emergency', 'aid_related', 'medical_help', 'medical_products', 'search_and_rescue', 'security', 'transport', 'weather_related', 'floods']","[9, 1, 15, 16, 26, 27, 32, 34, 11]",Red,2
17551,what is today s informations,['emergency'],[9],Green,0
9299,the findings attributed the poor harvest to unpredictable rainfall patterns as the rains which were less than normal and sparsely distributed started late and ended early she noted,['emergency'],[9],Green,0
1968,it s true you give me some information but if the notary die and the office brake down what i m going to do in this case,['emergency'],[9],Green,0
6136,during june refugees international visited the encashment center for returning refugees near kabul the registration center for refugees near quetta pakistan and the principal border crossing point for refugees returning from iran at islam qala near the afghan city of herat,"['emergency', 'aid_related', 'refugees']","[9, 1, 24]",Yellow,1
5963,my thoughts prayers go out to the people of haiti after the 7 0 earthquake yesterday,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
4309,baby formula 3 x 32 oz bottles similac sensitive ready made formula 1x 2 13 lb 3 x 12 6 oz containers similac sensitive powder formula,['emergency'],[9],Green,0
15351,why no body answer to my help when i cry i heard on the radio this is a porly understood or not,"['emergency', 'request', 'direct_report']","[9, 25, 6]",Green,0
9586,please read the attached news release with updated information on the santiago airport post earthquake situation in http bit ly bgavwk,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
10454,so now his office is telling farmers that flood irrigation is wasteful and ineffective for increasing crop yields because it washes away rich topsoil,"['emergency', 'weather_related', 'floods']","[9, 34, 11]",Red,2
16323,please we are in champ de mars help us find a tent and god will bless you,"['emergency', 'request', 'aid_related', 'shelter', 'direct_report']","[9, 25, 1, 28, 6]",Yellow,1
19596,alarme of earthquake in cap hhaitien,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
6978,major earthquake hits haiti save the children staff working on the ground save the children is verifying t http bit ly 6wivnk pls rt,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
484,a volunteer fireman said work was continuous day and night,['emergency'],[9],Green,0
16451,i would like to know more information on the earthquake will be arriving in thi year,"['emergency', 'request', 'weather_related', 'earthquake', 'direct_report']","[9, 25, 34, 7, 6]",Red,2
3894,the jakarta police s traffic management center reported overflowing sewers and heavy rain had caused gridlock at arion intersection jl,"['emergency', 'aid_related', 'other_aid', 'infrastructure_related', 'transport', 'other_infrastructure', 'weather_related', 'floods', 'storm']","[9, 1, 21, 14, 32, 22, 34, 11, 30]",Red,2
11946,it is one of the districts most affected by the earthquake but also provides a good base from which to access other severely impacted areas,"['emergency', 'buildings', 'weather_related', 'earthquake']","[9, 2, 34, 7]",Red,2
13845,the people of fayette are being rained on we can t even find a tarp may god bless you for your help,"['emergency', 'aid_related', 'other_aid', 'weather_related', 'storm']","[9, 1, 21, 34, 30]",Red,2
15608,victims haven t had any aid yet get to them in the section which is in the commune,"['emergency', 'request', 'aid_related', 'other_aid', 'direct_report']","[9, 25, 1, 21, 6]",Yellow,1
503,the topsoil is gone and only rocks brought down by the river sit where crops and fruit trees once grew on terraced fields,"['emergency', 'infrastructure_related', 'other_infrastructure', 'weather_related', 'floods']","[9, 14, 22, 34, 11]",Red,2
13690,unicef provides support unicef s programme on water sanitation and hygiene has provided chlorine soap and bio sand filters to affected villages and households to ensure children have access to improved water,"['emergency', 'aid_related', 'medical_products', 'water']","[9, 1, 16, 33]",Yellow,1
12952,schools and kindergartens were closed tuesday afternoon and ferry services to outlying islands were suspended as the fast moving storm closed in on the high rise city of 6 9 million,"['emergency', 'infrastructure_related', 'transport', 'other_infrastructure', 'weather_related', 'storm', 'cold']","[9, 14, 32, 22, 34, 30, 4]",Red,2
17906,at a briefing april 15 navy captain mark llewellyn who commands the mercy said that after arriving off indonesia february 4 his ship and medical teams along with nongovernmental groups provided medical care surgery eyeglasses laboratory and dental work,['emergency'],[9],Green,0
15469,i can provide sandwiches fruit food for kids babies baby supplies non perishable foods hygiene products paper cups plates napkins,"['emergency', 'aid_related', 'medical_products', 'food', 'other_aid']","[9, 1, 16, 12, 21]",Yellow,1
2361,where we are we can t find anthing no distribution of aid in nazon near comcel building and delma 30,"['emergency', 'request', 'aid_related', 'other_aid', 'direct_report']","[9, 25, 1, 21, 6]",Yellow,1
3210,we are asking the ministry of public health to please help with the flies and mosquitoes that are in the shelters especially in canape vert,"['emergency', 'aid_related', 'water', 'electricity', 'weather_related', 'cold']","[9, 1, 33, 8, 34, 4]",Yellow,1
17051,15 people in the house 93 alexandre petion road near the school haurace p sannon,"['emergency', 'request', 'direct_report']","[9, 25, 6]",Green,0
1034,i can cook meals for those who need or for relief workers help pack meals to deliver or help deliver available for weekend volunteering,"['emergency', 'aid_related', 'food']","[9, 1, 12]",Yellow,1
11743,i have a child of 7 months has been hit but it affects him hse now,"['emergency', 'request', 'direct_report']","[9, 25, 6]",Green,0
2754,the country s railway and electricity networks added the appeal have also been devastated and need urgent repairs,"['emergency', 'request', 'aid_related', 'other_aid', 'transport']","[9, 25, 1, 21, 32]",Yellow,1
14811,we need a tent now please we cannot sleep outdoor like that it wet all night the kids will get sick,"['emergency', 'request', 'aid_related', 'shelter', 'direct_report']","[9, 25, 1, 28, 6]",Yellow,1
8925,the pupils of tiburon never find anything help,"['emergency', 'request']","[9, 25]",Green,0
1052,health cluster partners are currently supporting district and provincial health authorities in distributing insecticide treated nets to families in resettlement centres,"['emergency', 'aid_related', 'medical_products']","[9, 1, 16]",Yellow,1
5719,the government has been evacuating patients to more distant cities to relieve overcrowding,['emergency'],[9],Green,0
10104,the preliminary assessment results show that many idps are returning to their abandoned villages,"['emergency', 'aid_related', 'refugees']","[9, 1, 24]",Yellow,1
10365,since the earthquake we re at delmas 33 alaza street we haven t recieve any assistance we don t have no shelter or no food please find a way to help us,"['emergency', 'request', 'aid_related', 'medical_help', 'food', 'shelter', 'weather_related', 'earthquake', 'direct_report']","[9, 25, 1, 15, 12, 28, 34, 7, 6]",Red,2
16956,my dady was dead long time ago now i lose my mom and three of my brothers during the earthquake every time i think about that i can t support my head headache what can i do in that situation it s very important,"['emergency', 'request', 'aid_related', 'medical_help', 'medical_products', 'death', 'other_aid', 'weather_related', 'earthquake', 'direct_report']","[9, 25, 1, 15, 16, 5, 21, 34, 7, 6]",Black,3
7486,in the severely affected districts of gurjaani and telavi in the kakheti region 70 90 of the sunflower crop is lost there is a lack of wheat seed rain fed maize is only good for fodder the quantity and quality of rain fed grapes is low and there is an insect infestation,"['emergency', 'weather_related', 'storm']","[9, 34, 30]",Red,2
4819,where is the national register now that was brunel,['emergency'],[9],Green,0
4520,the floods followed unusually heavy rainfalls and caused major damages and destruction in parts of poland the czech republic slovakia romania and armenia,"['emergency', 'weather_related', 'floods']","[9, 34, 11]",Red,2
5804,are the aftershocks over what risk is there for lagonav,"['emergency', 'aid_related', 'other_aid', 'weather_related', 'earthquake']","[9, 1, 21, 34, 7]",Red,2
13195,the rain is soaking me send shelter to me,"['emergency', 'request', 'aid_related', 'shelter', 'weather_related', 'storm', 'direct_report']","[9, 25, 1, 28, 34, 30, 6]",Red,2
17557,the country is expected to produce 38million bags of maize valued at shs 114 b tran nzoia county is expected to realize 4 6 million bags of maize valued at shs 13 8billion the bumper maize harvest is to be achieved inspite of the maize lethal necrosis disease which affected 60 000 hectares of maize nationally with production losses ranging from 10 to 60,['emergency'],[9],Green,0
15675,mount fontamara people are in difficulty getting treated water even if people have mony,['emergency'],[9],Green,0
4304,the government of balochistan has reiterated its request to expand the drought emergency food programme to two other severely affected districts lasbella and awaran which have not received rainfall for several years,"['emergency', 'aid_related', 'food', 'weather_related', 'other_weather', 'direct_report']","[9, 1, 12, 34, 23, 6]",Yellow,1
3488,send a 10 gourdes phone card please i have an emergency,['emergency'],[9],Green,0
3848,the flood water levels at in land gauging stations of kien giang can tho vinh long tien giang and long an provinces will change slowly and increase again under the influence from flood tide in mid october 2000,"['emergency', 'weather_related', 'floods']","[9, 34, 11]",Red,2
2420,have a great day everyone still surviving the storm here prayers r with my fellow east coast people s,"['emergency', 'aid_related', 'shelter', 'other_aid', 'weather_related', 'storm', 'direct_report']","[9, 1, 28, 21, 34, 30, 6]",Red,2
9006,it is also the world s largest archipelago nation is situated on major fault lines and is prone to frequent seismic activity,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
16981,efforts to ensure that food is available to poor households at a reasonable cost through subsidized cereal sales cereal banks food for work and cash for work are needed,"['emergency', 'request', 'aid_related', 'food', 'money']","[9, 25, 1, 12, 19]",Yellow,1
