id,text,incident_types,severity,type_labels,severity_label
2509,"Kailangan ng responders para sa road crash, severe bleeding. pls help",['Accident'],Red,[0],2
1770,"Inalerto ang mga awtoridad: may holdap, no injuries reported.",['Crime'],Green,[1],0
159,"Urgentsituation:housefireandmalakasnaulan,kailanganngtulongperostable.","['Fire', 'Natural Disaster']",Yellow,"[2, 4]",1
8957,a significant number of warehouses suffered structural damage due to 1 short column effect and 2 flexing of end walls pulling out longitudinal bracing perpendicular to and along the bottom of the roof trusses,"['Accident', 'Other']",Yellow,"[0, 5]",1
4971,"Agarang sitwasyon: vehicle collision, not breathing.",['Accident'],Red,[0],2
206,"Kritikal na alerto: may accident sa road and pananakit, walang agarang panganib.","['Accident', 'Crime']",Green,"[0, 1]",0
1848,"Parang may smoke lumalabas and armed robbery, walang agarang panganib. pls help","['Fire', 'Crime']",Green,"[1, 2]",0
4961,"Urgent situation: smoke coming out, konti lang sugat.",['Fire'],Green,[2],0
1696,"Emergency reported involving break-in and electrical fire, walang agarang panganib.","['Crime', 'Fire']",Green,"[1, 2]",0
8189,what do we see in this gouvernement do not talk about the students who died and they want to open school i need more infos about that,['Other'],Green,[5],0
2493,"Agarang sitwasyon: nahihirapang huminga, hindi na humihinga.",['Medical'],Black,[3],3
2029,"Agarangsitwasyon:heavyrainfall,needstreatmentsoon.",['Natural Disaster'],Yellow,[4],1
8447,on 8 january clashes were reported to have occurred between rival militia men in wajid district bakool,"['Crime', 'Other']",Yellow,"[1, 5]",1
10056,a few isolated adults may be present on the northern coastal plains near shieb and mehimet,['Other'],Green,[5],0
6551,general ability to participate in activity like food distribution soup kitchen essential item distribution staffing telephone lines etc,"['Medical', 'Other']",Yellow,"[3, 5]",1
2746,"Critical alert: sunog sa kuryente, kailangan ng tulong pero stable.",['Fire'],Yellow,[2],1
7601,as of the first phase habitat built three solar lamp recharging stations and distributed solar lamps to 268 families in in aima char thar gone and poulong lay villages in pyin alan village tract,['Other'],Green,[5],0
3470,"Grabe, motorcycle crash! needs treatment soon. uhm",['Accident'],Yellow,[0],1
3416,"Grabe, sunog sa kuryente and pananakit ng dibdib! hindi na humihinga.","['Fire', 'Medical']",Black,"[2, 3]",3
1308,"Inalerto ang mga awtoridad: wild animal loose and typhoon impact, kailangan ng agarang tugon.","['Other', 'Natural Disaster']",Red,"[4, 5]",2
6713,toilet paper and paper towels dish soap,['Other'],Green,[5],0
8859,continue distribution of high energy protein biscuits to children under five years pregnant and lactating women in accommodation centres and camps,['Other'],Yellow,[5],1
6908,it is reported that some roads in the hardest hit areas have been swept away preventing emergency services personnel from providing rescue and relief,"['Accident', 'Other']",Yellow,"[0, 5]",1
8632,starting in october 1999 severe food insecurity began to be reported in gode zone somali region as a result of delayed and erratic deyr rains expected from september december,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
7968,we live in the department of south of the country the part of the country is aquin and the section is lakolin we want to ask when will we get help because most of the people who were living,['Other'],Yellow,[5],1
